action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32049,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-],,,CHEMBL1123058,J Med Chem,1985,"{'bei': '15.67', 'le': '0.30', 'lle': '3.42', 'sei': '7.35'}",CHEMBL15886,,CHEMBL1178213,4.00,0,http://www.openphacts.org/units/Nanomolar,17693,=,1,1,=,,IC50,nM,,100000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.1
,,32050,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL15886,,CHEMBL1178213,,0,http://www.openphacts.org/units/Nanomolar,17693,=,1,1,=,,IC50,nM,,170000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.17
,,34486,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,C[n+]1ccccc1CCC(O)CCl.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL556129,,CHEMBL1196197,,0,http://www.openphacts.org/units/Nanomolar,17691,=,1,1,=,,IC50,nM,,200000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.2
,,34487,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,C[n+]1ccccc1CCC(O)CCl.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL556129,,CHEMBL1196197,,0,http://www.openphacts.org/units/Nanomolar,17691,=,1,1,=,,IC50,nM,,200000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.2
,,38116,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,C[N+](C)(C)CCCCl.[Br-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL15795,,CHEMBL1178211,,0,http://www.openphacts.org/units/Nanomolar,17688,=,1,1,=,,IC50,nM,,260000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.26
,,38117,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,C[N+](C)(C)CCCCl.[Br-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL15795,,CHEMBL1178211,,0,http://www.openphacts.org/units/Nanomolar,17688,=,1,1,=,,IC50,nM,,260000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.26
,,41591,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,BrCCCCCC[n+]1ccccc1.[Br-],,,CHEMBL1123058,J Med Chem,1985,"{'bei': '17.36', 'le': '0.44', 'lle': '1.29', 'sei': '108.81'}",CHEMBL276539,,CHEMBL1183031,4.22,0,http://www.openphacts.org/units/Nanomolar,17700,=,1,1,=,,IC50,nM,,60000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.06
,,41592,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,BrCCCCCC[n+]1ccccc1.[Br-],,,CHEMBL1123058,J Med Chem,1985,"{'bei': '16.64', 'le': '0.43', 'lle': '1.12', 'sei': '104.27'}",CHEMBL276539,,CHEMBL1183031,4.05,0,http://www.openphacts.org/units/Nanomolar,17700,=,1,1,=,,IC50,nM,,90000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.09
,,42915,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[N+](C)(CC)CCc1ccncc1.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL278956,,CHEMBL1183085,,0,http://www.openphacts.org/units/Nanomolar,17696,=,1,1,=,,IC50,nM,,200000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.2
,,42916,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC[N+](C)(CC)CCc1ccncc1.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL278956,,CHEMBL1183085,,0,http://www.openphacts.org/units/Nanomolar,17696,=,1,1,=,,IC50,nM,,200000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.2
