molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL15886,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-],100000.0,inactive
CHEMBL15886,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-],170000.0,inactive
CHEMBL556129,C[n+]1ccccc1CCC(O)CCl.[I-],200000.0,inactive
CHEMBL556129,C[n+]1ccccc1CCC(O)CCl.[I-],200000.0,inactive
CHEMBL15795,C[N+](C)(C)CCCCl.[Br-],260000.0,inactive
CHEMBL15795,C[N+](C)(C)CCCCl.[Br-],260000.0,inactive
CHEMBL276539,BrCCCCCC[n+]1ccccc1.[Br-],60000.0,inactive
CHEMBL276539,BrCCCCCC[n+]1ccccc1.[Br-],90000.0,inactive
CHEMBL278956,CC[N+](C)(CC)CCc1ccncc1.[I-],200000.0,inactive
CHEMBL278956,CC[N+](C)(CC)CCc1ccncc1.[I-],200000.0,inactive
CHEMBL539116,C[n+]1ccc(CCN2C(=O)CCC2=O)cc1.[I-],830000.0,inactive
CHEMBL539116,C[n+]1ccc(CCN2C(=O)CCC2=O)cc1.[I-],890000.0,inactive
CHEMBL276538,CS(=O)(=O)[O-].C[n+]1ccccc1CCl,460000.0,inactive
CHEMBL276538,CS(=O)(=O)[O-].C[n+]1ccccc1CCl,340000.0,inactive
CHEMBL15822,CC[N+](C)(CC)CCc1ccccn1.[I-],1000000.0,inactive
CHEMBL15822,CC[N+](C)(CC)CCc1ccccn1.[I-],1000000.0,inactive
CHEMBL538102,CCN(CC)CCc1cccc[n+]1C.[I-],550000.0,inactive
CHEMBL538102,CCN(CC)CCc1cccc[n+]1C.[I-],500000.0,inactive
CHEMBL1159683,CC1C=CN(C)c2c1c1c(n2C)CCC1OCCCl.O=C(O)/C=C/C(=O)O,250000.0,inactive
CHEMBL1159683,CC1C=CN(C)c2c1c1c(n2C)CCC1OCCCl.O=C(O)/C=C/C(=O)O,380000.0,inactive
CHEMBL539117,C[n+]1ccccc1CCN1C(=O)CCC1=O.[I-],870000.0,inactive
CHEMBL539117,C[n+]1ccccc1CCN1C(=O)CCC1=O.[I-],470000.0,inactive
CHEMBL53239,Cc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1,21000.0,inactive
CHEMBL50735,Cc1ccccc1CNc1c2c(nc3ccccc13)CCCC2O,5890.0,intermediate
